"con","cg","WUPALMER","PATH","INTRINSIC_LIN","INTRINSIC_PATH","INTRINSIC_LCH","LIN","PAGERANK_ppr","PAGERANK_ppr_hier","N","SIG"
"MiniMayoSRS_Physicians","msh",0.396063750717455,0.402896132830344,0.406581605113615,0.406581605113615,0.392190886531173,0.405946321355625,0.295332001344469,0.295332001344469,29,0.997811136298138
"MiniMayoSRS_Physicians","msh-umls",0.396204335618417,0.40710174717983,0.423382264284577,0.419626655790036,0.410160622515369,0.384073562041716,0.151151321537085,0.151151321537085,29,0.865500898054561
"MiniMayoSRS_Coders","msh",0.418523886321261,0.420597343878345,0.510990534404435,0.510990534404435,0.536492303415143,0.507054792162553,0.35533570192477,0.35533570192477,29,0.984718835879285
"MiniMayoSRS_Coders","msh-umls",0.374573446660761,0.375670335320956,0.45008596475845,0.442071797666254,0.528157616474556,0.425526420443658,0.204648156677029,0.204648156677029,29,0.912757098146354
"MiniMayoSRS_Combined","msh",0.417596143814916,0.424149700375296,0.455267835155571,0.455267835155571,0.43320633904011,0.455900151593287,0.310020292659815,0.310020292659815,29,0.997704498974797
"MiniMayoSRS_Combined","msh-umls",0.407990953512964,0.417882359593447,0.445826740805644,0.443085491980120,0.447350639134846,0.407947666125679,0.162401234251626,0.162401234251626,29,0.867326177046854
"MayoSRS","msh",0.37471690551772,0.345430855565392,0.461291527288472,0.465144679904503,0.370837855579349,0.450367115584744,0.266512128037944,0.266512128037944,61,0.940802458783114
"MayoSRS","msh-umls",0.203990778354666,0.255724864700091,0.247970930799406,0.248103677550369,0.249776286612506,0.197922788715732,0.0472016241834647,0.0472016241834647,61,0.776647946055895
"UMNSRS_relatedness","msh",0.249631778763222,0.255650074159268,0.325506850104871,0.323701714262183,0.291820857028193,0.329239212708941,0.270474063428991,0.270474063428991,432,0.951179766909957
"UMNSRS_relatedness","msh-umls",0.264550219002120,0.24897820716405,0.29857029494957,0.292162544336996,0.294007256777769,0.285560541126481,0.176836984384405,0.176836984384405,432,0.834985361406264
"UMNSRS_similarity","msh",0.333855417178189,0.333160164057023,0.409337789933989,0.407964233986164,0.355090880535916,0.416883812764462,0.346440839143698,0.346440839143698,429,0.894355897879618
"UMNSRS_similarity","msh-umls",0.346173160984689,0.33852264181881,0.342187393871418,0.336822811704149,0.351310666484641,0.341088583113891,0.180797116221402,0.180797116221402,429,0.985514654034074
